Nr:	 N:	 X:	 E:
5.61004e-06	1.00842	0.503293	6.3873
5.62004e-06	1.00842	0.503286	6.3925
5.63004e-06	1.00841	0.50328	6.39773
5.64004e-06	1.00841	0.503273	6.40298
5.65004e-06	1.0084	0.503267	6.40823
5.66004e-06	1.00839	0.503261	6.4135
5.67004e-06	1.00839	0.503254	6.41878
5.68004e-06	1.00838	0.503248	6.42407
5.69004e-06	1.00838	0.503241	6.42937
5.70004e-06	1.00837	0.503235	6.43468
5.71004e-06	1.00837	0.503229	6.43999
5.72004e-06	1.00836	0.503222	6.44528
5.73004e-06	1.00836	0.503215	6.45057
5.74004e-06	1.00835	0.503209	6.45587
5.75004e-06	1.00834	0.503202	6.4612
5.76004e-06	1.00834	0.503196	6.46654
5.77004e-06	1.00833	0.50319	6.47188
5.78004e-06	1.00833	0.503183	6.47726
5.79004e-06	1.00832	0.503176	6.48263
5.80004e-06	1.00832	0.50317	6.488
5.81004e-06	1.00831	0.503163	6.49337
5.82004e-06	1.0083	0.503157	6.49875
5.83004e-06	1.0083	0.50315	6.50417
5.84004e-06	1.00829	0.503143	6.5096
5.85004e-06	1.00829	0.503137	6.51502
5.86004e-06	1.00828	0.50313	6.52046
5.87004e-06	1.00828	0.503124	6.52589
5.88004e-06	1.00827	0.503117	6.53136
5.89004e-06	1.00826	0.50311	6.53685
5.90004e-06	1.00826	0.503103	6.54232
5.91004e-06	1.00825	0.503097	6.54784
5.92004e-06	1.00825	0.50309	6.55336
5.93004e-06	1.00824	0.503083	6.55886
5.94004e-06	1.00824	0.503077	6.56436
5.95004e-06	1.00823	0.50307	6.56983
5.96004e-06	1.00822	0.503063	6.57533
5.97004e-06	1.00822	0.503056	6.58086
5.98004e-06	1.00821	0.50305	6.58637
5.99004e-06	1.00821	0.503043	6.59189
6.00004e-06	1.0082	0.503036	6.59742
6.01004e-06	1.00819	0.503029	6.60297
6.02004e-06	1.00819	0.503022	6.60852
6.03004e-06	1.00818	0.503015	6.61408
6.04004e-06	1.00818	0.503008	6.61963
6.05004e-06	1.00817	0.503002	6.62521
6.06005e-06	1.00817	0.502995	6.63083
6.07005e-06	1.00816	0.502988	6.6364
6.08005e-06	1.00815	0.502981	6.64199
6.09005e-06	1.00815	0.502974	6.64757
6.10005e-06	1.00814	0.502967	6.65317
6.11005e-06	1.00814	0.50296	6.65878
6.12005e-06	1.00813	0.502953	6.66443
6.13005e-06	1.00812	0.502946	6.67008
6.14005e-06	1.00812	0.502939	6.67572
6.15005e-06	1.00811	0.502932	6.6814
6.16005e-06	1.00811	0.502925	6.68707
6.17005e-06	1.0081	0.502918	6.69273
6.18005e-06	1.00809	0.502911	6.69838
6.19005e-06	1.00809	0.502904	6.70405
6.20005e-06	1.00808	0.502897	6.70972
6.21005e-06	1.00808	0.50289	6.71543
6.22005e-06	1.00807	0.502883	6.72112
